time,block,fee-rate,function,sender,,,,,,,,,
2021-09-22T04:53:51.000Z,30827,241200,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,(ok (tuple (count u1) (ids (list u5459)) (series-id u1034))),SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,none,none,"u""BTC Rock #27 Chameleon""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/251e0a1f-50ca-4d9a-bed1-42726c233672.jpeg,image/jpeg,"(list (tuple (hash 0x8ef5d00314438b70e22b1d67642ce4b5114bd9f6e4ed1396d396b3199d6d5cd8) (mime-type ""image/jpeg"") (name u""BTC Rock #27 Chameleon #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/251e0a1f-50ca-4d9a-bed1-42726c233672.jpeg"")))"
2021-09-21T07:24:03.000Z,30730,245200,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,(ok (tuple (count u1) (ids (list u5424)) (series-id u1023))),SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,none,none,"u""BTC Rock #28 Golden Threads""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/c2379808-40a3-45af-a20d-7ecf7ba45a44.jpeg,image/jpeg,"(list (tuple (hash 0x0300a3f7ddee9718ccbfd1dc744d15492f1842d629c7bba9b12cc5ec03ca9177) (mime-type ""image/jpeg"") (name u""BTC Rock #28 Golden Threads #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/c2379808-40a3-45af-a20d-7ecf7ba45a44.jpeg"")))"
2021-09-21T07:47:48.000Z,30731,242000,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,(ok (tuple (count u1) (ids (list u5425)) (series-id u1024))),SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,none,none,"u""BTC Rock #29 Matrix 101""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/65e9c4e7-24a8-471b-a417-623d60206725.jpeg,image/jpeg,"(list (tuple (hash 0x3af3d6cd3f95f7e341c8f6b0241269a508f01dbaca461ea85d2fe6aa418fa6d3) (mime-type ""image/jpeg"") (name u""BTC Rock #29 Matrix 101 #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/65e9c4e7-24a8-471b-a417-623d60206725.jpeg"")))"
2021-09-10T13:51:21.000Z,29330,23240,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,(ok (tuple (count u1) (ids (list u5202)) (series-id u946))),SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,none,none,"u""BTC ROCK #3""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/6a36a3a8-4239-4402-8bb9-cafb9c6dc96c.jpeg,image/jpeg,"(list (tuple (hash 0x23615b0cb46d9f84deac376b7c1e66180d095d8a39ad21c903231ba35c2a6d8d) (mime-type ""image/jpeg"") (name u""BTC ROCK #3 #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/6a36a3a8-4239-4402-8bb9-cafb9c6dc96c.jpeg"")))"
2021-09-22T04:40:08.000Z,30825,238000,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,(ok (tuple (count u1) (ids (list u5458)) (series-id u1033))),SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,none,none,"u""BTC Rock #30 Funky""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/8baee278-3d2f-480b-9273-49c9f2b6e9ab.jpeg,image/jpeg,"(list (tuple (hash 0x57669a8595c2f851d2bdc159e22af0e29f4a974eb455e25d895ed8492e197aab) (mime-type ""image/jpeg"") (name u""BTC Rock #30 Funky #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/8baee278-3d2f-480b-9273-49c9f2b6e9ab.jpeg"")))"
2021-09-22T05:12:01.000Z,30828,242000,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,(ok (tuple (count u1) (ids (list u5460)) (series-id u1035))),SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,none,none,"u""BTC Rock #31 Chemical X""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/d385bd52-1399-437b-b633-4de88b11b612.jpeg,image/jpeg,"(list (tuple (hash 0x71d573ae788a5b01a3a7bfaa821d686b80e364f20384f425ffaa055a2c2d30ad) (mime-type ""image/jpeg"") (name u""BTC Rock #31 Chemical X #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/d385bd52-1399-437b-b633-4de88b11b612.jpeg"")))"
2021-09-22T05:12:01.000Z,30828,239600,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,(ok (tuple (count u1) (ids (list u5461)) (series-id u1036))),SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,none,none,"u""BTC Rock #32 Earth 2""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/69b74255-b030-498f-8622-b036dc00617a.jpeg,image/jpeg,"(list (tuple (hash 0xc19883308000a7379dc2aa799e1dfe7ce316413eccbcfc5f615b27a3245fe1a9) (mime-type ""image/jpeg"") (name u""BTC Rock #32 Earth 2 #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/69b74255-b030-498f-8622-b036dc00617a.jpeg"")))"
2021-09-22T05:16:42.000Z,30829,248400,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,(ok (tuple (count u1) (ids (list u5462)) (series-id u1037))),SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,none,none,"u""BTC Rock #33 El Salvador's Rock""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/3890ddfc-8234-4296-817d-67ca1b4642e1.jpeg,image/jpeg,"(list (tuple (hash 0xd0999bf6ee80b2c3617b57a3aa5c5ead5570449e35053f7f462b018d01913fd5) (mime-type ""image/jpeg"") (name u""BTC Rock #33 El Salvador's Rock #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/3890ddfc-8234-4296-817d-67ca1b4642e1.jpeg"")))"
2021-09-22T05:16:42.000Z,30829,244400,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,(ok (tuple (count u1) (ids (list u5463)) (series-id u1038))),SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,none,none,"u""BTC Rock #34 Dark Sapphire""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/ade530ad-c0a9-4621-8b80-033a0c2b00f9.jpeg,image/jpeg,"(list (tuple (hash 0xfa2a8854a9db6bf1f6bf7778a48bab24bcd09cd946e33a1e89199e5488114008) (mime-type ""image/jpeg"") (name u""BTC Rock #34 Dark Sapphire #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/ade530ad-c0a9-4621-8b80-033a0c2b00f9.jpeg"")))"
2021-09-22T05:41:19.000Z,30831,246800,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,(ok (tuple (count u1) (ids (list u5464)) (series-id u1039))),SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,none,none,"u""BTC Rock #35 Mooning Martian """,https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/0e1a0982-bbdd-4593-bfc0-bdff70e0d1a4.jpeg,image/jpeg,"(list (tuple (hash 0xbb72666c5adb31d1e6ae98d6a263c9b2b0cbef0b4e3dcdfb49d5fcab51492b9c) (mime-type ""image/jpeg"") (name u""BTC Rock #35 Mooning Martian  #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/0e1a0982-bbdd-4593-bfc0-bdff70e0d1a4.jpeg"")))"
